PastMode,presentPositionEntered,ACAIRB=Yes,IMSAUTOC=On,Desig,Data23=Sea,CAstageComplete,CLstageComplete,NDstageComplete,HSstageComplete,PNLTEST=TEST,IMSup,latitude>70,latitude>80,DopplerUp,DopplerCoupled,IMSMODE=Gndal,IMSMODE=Norm,IMSMODE=Iner,IMSMODE=MagSl,IMSMODE=Grid,AirVelocityTestPassed,PitchSmall AND RollSmall,SINSup,SINSvelocityTestPassed,LandVelocityTestPassed,NoInterveningTakeoff,GroundTestFinished,CurrentMode
Lautocal,T,f,,,,,,,,,,,,,,t,,,,,,,,,,,,Landaln
Lautocal,,f,,,,,,T,,f,,,f,,,,,,,,,,,,,,,I
Lautocal,,f,,,,,,,,,,,,,,,T,,,,,,,,,,,OLB
Lautocal,,f,,,,,,,,,,,,,,,,T,,,,,,,,,,OLB
Lautocal,,T,,,,,,,,,,,,,,,,,,,,,,,,,,OLB
Lautocal,,f,,,,,,,,,,,,,,,,,T,,,,,,,,,MagSl
Lautocal,,f,,,,,,,,,,,,,,,,,,T,,,,,,,,Grid
Lautocal,,f,,,,,,,,f,F,,,,,,,,,,,,,,,,,IMSfail
Lautocal,,f,,,,,,T,,f,,,t,,,,,,,,,,,,,,,PolarI
Lautocal,,f,,,,,,,,T,,,,,,,,,,,,,,,,,,Grtest
Sautocal,T,f,,,,,,,,,,,,,,t,,,,,,,,,,,,Landaln
Sautocal,,f,,,,,,T,,f,,,f,,,,,,,,,,,,,,,I
Sautocal,,f,,,,,,,,,,,,,,,T,,,,,,,,,,,OLB
Sautocal,,f,,,,,,,,,,,,,,,,T,,,,,,,,,,OLB
Sautocal,,T,,,,,,,,,,,,,,,,,,,,,,,,,,OLB
Sautocal,f,f,,,,,,f,,f,,,,,,,,,,,,,F,,,,,OLB
Sautocal,,f,,,,,,,,,,,,,,,,,T,,,,,,,,,MagSl
Sautocal,,f,,,,,,,,,,,,,,,,,,T,,,,,,,,Grid
Sautocal,,f,,,,,,,,f,F,,,,,,,,,,,,,,,,,IMSfail
Sautocal,,f,,,,,,T,,f,,,t,,,,,,,,,,,,,,,PolarI
Sautocal,,f,,,,,,,,T,,,,,,,,,,,,,,,,,,Grtest
Landaln,,f,T,,,,,,,,,,,,,,,,,,,,,,t,,,Lautocal
Landaln,T,f,,,,,,,,,,,,,,,,,,,,,,,,,,Landaln
Landaln,,f,,T,,,,,,,,,,,,,,,,,,,,,,,,HUDaln
Landaln,,T,,,,,t,,,,,,f,,,,,,,,,,,,,,,I
Landaln,,f,,,T,,t,,,,,,f,,,,,,,,,,,,,,,I
Landaln,,f,,,,,t,,,,,,f,,,,,T,,,,,,,,,,I
Landaln,,f,,,,,t,,,,,,f,,,,T,,,,,,,,,,,I
Landaln,,f,,,,,f,,,,,,,,,,,T,,,,,,,,,,OLB
Landaln,,f,,,,,f,,,,,,,,,,T,,,,,,,,,,,OLB
Landaln,,f,,,T,,f,,,,,,,,,,,,,,,,,,,,,OLB
Landaln,,T,,,,,f,,,,,,,,,,,,,,,,,,,,,OLB
Landaln,,f,,,,,,,,,,,,,,,,,T,,,,,,,,,MagSl
Landaln,,f,,,,,,,,,,,,,,,,,,T,,,,,,,,Grid
Landaln,,f,,,,,,,,f,F,,,,,,,,,,,,,,,,,IMSfail
Landaln,,T,,,,,t,,,,,,t,,,,,,,,,,,,,,,PolarI
Landaln,,f,,,T,,t,,,,,,t,,,,,,,,,,,,,,,PolarI
